questionId,questions,lang
4,Which river does the Brooklyn Bridge cross?,en
4,Welchen Fluss überspannt die Brooklyn Bridge?,de
4,¿Por qué río cruza la Brooklyn Bridge?,es
4,Quale fiume attraversa il ponte di Brooklyn?,it
4,Quelle cours d'eau est traversé par le pont de Brooklyn?,fr
4,Welke rivier overspant de Brooklyn Bridge?,nl
67,Give me the websites of companies with more than 500000 employees.,en
67,Gib mir alle Webseiten von Unternehmen mit mehr als 500000 Angestellten.,de
67,Dame todas las páginas de Web de empresas con más de 500000 empleados.,es
67,Dammi tutti i siti internet di aziende con più di 500000 dipendenti.,it
67,Donnes-moi les sites webs de companies avec plus de 500000 employés.,fr
67,Geef me de websites van alle ondernemingen met meer dan 500000 werknemers.,nl
56,What is the official website of Tom Cruise?,en
56,Was ist die offizielle Website von Tom Cruise?,de
56,¿Cuál el la página de Web oficial de Tom Cruise?,es
56,Qual è il sito internet ufficiale di Tom Cruise?,it
56,Quel est le site web officiel de Tom Cruise?,fr
56,Wat is de officiële website van Tom Cruise?,nl
84,Give me all movies with Tom Cruise.,en
84,Gib mir alle Filme mit Tom Cruise.,de
84,Dame todas las películas con Tom Cruise,es
84,Dammi tutti i film con Tom Cruise.,it
84,Donnes-moi tous les films avec Tom Cruise.,fr
84,Noem alle films met Tom Cruise.,nl
62,Who created Wikipedia?,en
62,Wer hat Wikipedia gegründet?,de
62,¿Quién creó Wikipedia?,es
62,Chi ha creato Wikipedia?,it
62,Qui est le créateur de Wikipedia?,fr
62,Wie heeft Wikipedia opgericht?,nl
76,How many films did Hal Roach produce?,en
76,Wieviele Filme hat Hal Roach produziert?,de
76,¿Cuántas películas ha producido Hal Roach?,es
76,Quanti film ha prodotto Hal Roach?,it
76,Combien de films ont été produit par Hal Roach?,fr
76,Hoeveel films heeft Hal Roach geproduceerd?,nl
10,In which country does the Nile start?,en
10,In welchem Land entspringt der Nil?,de
10,¿En qué país nace el Nilo?,es
10,In quale stato nasce il Nilo?,it
10,Dans quel pays commence le Nil?,fr
10,In welk land ontspringt de Nijl?,nl
8,Which states of Germany are governed by the Social Democratic Party?,en
8,Welche Bundesländer in Deutschland werden von der SPD regiert?,de
8,¿En qué estados federales de Alemania gobierna la SPD?,es
8,In quali stati federati della Germania governa il Partito Socialista Democratico?,it
8,Quels sont les états d'Allemagne gouvernés par le parti social-démocrate d'Allemagne?,fr
8,In welke Duitse deelstaten is de SPD aan de macht?,nl
14,How tall is Claudia Schiffer?,en
14,Wie groß ist Claudia Schiffer?,de
14,¿Cómo de alta es Claudia Schiffer?,es
14,Quanto è alta Claudia Schiffer?,it
14,Quelle est la taille de Claudia Schiffer?,fr
14,Hoe lang is Claudia Schiffer?,nl
23,Which television shows were created by Walt Disney?,en
23,Welche Fernsehserien hat Walt Disney entworfen?,de
23,¿Qué series televisivas ideó Walt Disney?,es
23,Quali serie televisive sono state create dalla Walt Disney?,it
23,Quelles séries télevisées ont été créées par Walt Disney?,fr
23,Welke televisieseries werden bedacht door Walt Disney?,nl
47,What is the highest place of Karakoram?,en
47,Was ist die höhchste Stelle des Karakorum?,de
47,¿Cuál es el punto más alto del Karakorum?,es
47,Qual è il punto più alto del Karakoram?,it
47,Quel est l'endroit le plus haut du Karakoram?,fr
47,Wat is het hoogste punt van de Karakoram?,nl
17,Give me all cities in New Jersey with more than 100000 inhabitants.,en
17,"Gib mir alle Städte in New Jersey, die mehr als 100000 Einwohner haben.",de
17,Dame todas las cuidades en New Jersey que tengan más de 100000 habitantes.,es
17,Dammi tutte le città del New Jersey con più di 100000 abitanti.,it
17,Donnes-moi toutes les villes du New Jersey avec plus de 100000 habitants.,fr
17,Geef alle steden in New Jersey met meer dan 100000 inwoners.,nl
68,Which actors were born in Germany?,en
68,Welche Schauspieler wurden in Deutschland geboren?,de
68,¿Qué actores nacieron en Alemania?,es
68,Quali attori sono nati in Germania?,it
68,Quels acteurs sont nés en Allemagne?,fr
68,Welke acteurs zijn geboren in Duitsland?,nl
59,Give me all people with first name Jimmy.,en
59,"Gib mir alle Personen, die den Vornamen Jimmy haben.",de
59,Dame todas las personas con el nombre propio Jimmy.,es
59,Dammi tutte le persone il cui nome è Jimmy.,it
59,Donnes-moi toutes les personnes dont le prénom est Jimmy.,fr
59,Noem alle personen met de voornaam Jimmy.,nl
24,Which mountain is the highest after the Annapurna?,en
24,Was ist der höchste Berg nach dem Annapurna?,de
24,¿Cuál es la montaña más alta después del Annapurna?,es
24,Qual è la montagna più alta dopo l'Annapurna?,it
24,Quelle est la montagne la plus haute après l'Annapurna?,fr
24,Welke berg is na de Annapurna de hoogste berg?,nl
97,How often was Michael Jordan divorced?,en
97,Wie oft hat sich Michael Jordan scheiden lassen?,de
97,¿Cuántas veces se ha divorciado Michael Jordan?,es
97,Quante volte ha divorziato Michael Jordan?,it
97,Combien de fois a divorcé Michael Jordan?,fr
97,Hoe vaak is Michael Jackson gescheiden?,nl
44,Who designed the Brooklyn Bridge?,en
44,Wer hat die Brooklyn Bridge entworfen?,de
44,¿Quién diseñó la Brooklyn Bridge?,es
44,Chi ha progettato il ponte di Brooklyn?,it
44,Qui a conçu le pont de Brooklyn?,fr
44,Wie ontwierp de Brooklyn Bridge?,nl
13,Which classis do tree frogs belong to?,en
13,Welcher Klasse gehören Laubfrösche an?,de
13,¿A qué especie pertenece la rana verde?,es
13,A quale specie appartiene la rana verde?,it
13,A quelle classe apartiennent les grenouilles arboricoles?,fr
13,Tot welke klasse behoren boomkikkers?,nl
93,Was Natalie Portman born in the United States?,en
93,Wurde Natalie Portman in den Vereinigten Staaten geboren?,de
93,¿Nació Natalie Portman en los estados unidos de américa?,es
93,"Natalie Portman, nata, Stati Uniti d'America",it
93,Natalie Portman est-elle née aux Etats-Unis?,fr
93,Werd Natalie Portman geboren in de Verenigde Staten?,nl
34,Which countries have more than two official languages?,en
34,Welche Länder haben mehr als zwei Amtssprachen?,de
34,¿Qué países tienes más de dos lenguas oficiales?,es
34,Quali stati hanno più di due lingue ufficiali?,it
34,Quels pays ont plus de deux langues officielles?,fr
34,Welke landen hebben meer dan twee officiële talen?,nl
37,When did Latvia join the EU?,en
37,Wann ist Lettland der EU beigetreten?,de
